customer_id,confirmed_suspicious,sar_referral,qa_confirmed,outcome_date,label_maturity_days
C0001,1,0,0,2026-04-23,45
C0002,0,0,0,2026-05-09,45
C0003,0,0,0,2026-05-03,45
C0004,0,0,0,2026-04-21,60
C0005,1,1,0,2026-04-29,45
C0006,0,0,0,2026-04-19,30
C0007,0,0,0,2026-04-20,45
C0008,0,0,0,2026-04-16,60
C0009,0,0,0,2026-04-26,60
C0010,0,0,0,2026-05-06,60
C0011,0,0,0,2026-04-24,30
C0012,0,0,1,2026-05-07,60
C0013,0,0,0,2026-05-11,60
C0014,0,0,0,2026-05-03,30
C0015,0,0,0,2026-04-15,45
C0016,0,0,0,2026-04-22,45
C0017,0,0,0,2026-05-03,45
C0018,0,0,0,2026-05-11,60
C0019,0,0,1,2026-04-30,30
C0020,0,0,0,2026-05-09,30
C0021,0,0,0,2026-05-16,45
C0022,0,0,0,2026-04-15,45
C0023,0,0,0,2026-05-09,60
C0024,0,0,0,2026-05-15,45
C0025,0,0,0,2026-05-08,45
C0026,0,0,0,2026-04-17,30
C0027,1,0,1,2026-04-28,60
C0028,0,0,0,2026-04-29,60
C0029,0,0,0,2026-05-15,30
C0030,0,0,0,2026-04-30,30
C0031,1,1,1,2026-04-27,30
C0032,0,0,0,2026-04-23,30
C0033,0,0,0,2026-05-10,45
C0034,0,0,0,2026-05-18,30
C0035,0,0,0,2026-04-25,45
C0036,0,0,0,2026-04-18,60
C0037,1,1,0,2026-04-26,45
C0038,0,0,0,2026-05-07,45
C0039,0,0,0,2026-04-23,30
C0040,0,0,0,2026-05-03,45
C0041,1,1,1,2026-04-22,30
C0042,0,0,0,2026-05-01,30
C0043,0,0,0,2026-04-21,45
C0044,0,0,0,2026-05-03,45
C0045,1,1,0,2026-04-15,45
C0046,0,0,0,2026-05-04,60
C0047,0,0,0,2026-05-05,45
C0048,1,0,1,2026-04-29,60
C0049,0,0,0,2026-05-10,60
C0050,1,0,1,2026-05-02,45
C0051,0,0,0,2026-04-17,45
C0052,0,0,0,2026-05-05,45
C0053,0,0,0,2026-05-01,30
C0054,0,0,0,2026-05-07,60
C0055,0,0,0,2026-05-18,30
C0056,1,1,1,2026-05-03,60
C0057,0,0,0,2026-05-19,45
C0058,0,0,0,2026-04-28,60
C0059,0,0,0,2026-04-17,60
C0060,0,0,0,2026-05-10,30
C0061,0,0,0,2026-05-05,30
C0062,0,0,0,2026-05-14,45
C0063,0,0,1,2026-05-09,45
C0064,0,0,0,2026-04-24,45
C0065,1,1,1,2026-04-26,45
C0066,0,0,0,2026-05-19,45
C0067,0,0,0,2026-05-07,60
C0068,0,0,0,2026-04-30,45
C0069,0,0,0,2026-05-06,45
C0070,0,0,0,2026-05-04,45
C0071,0,0,0,2026-05-13,60
C0072,0,0,0,2026-05-04,60
C0073,0,0,0,2026-05-02,45
C0074,0,0,0,2026-05-10,30
C0075,0,0,0,2026-05-10,45
C0076,0,0,0,2026-05-17,60
C0077,0,0,0,2026-04-24,45
C0078,1,0,0,2026-05-15,45
C0079,0,0,0,2026-04-23,45
C0080,0,0,0,2026-05-06,45
C0081,0,0,0,2026-05-15,30
C0082,0,0,0,2026-05-04,30
C0083,0,0,0,2026-05-18,45
C0084,0,0,0,2026-05-15,30
C0085,0,0,0,2026-04-23,60
C0086,0,0,0,2026-05-09,30
C0087,0,0,0,2026-04-17,45
C0088,0,0,0,2026-05-14,45
C0089,0,0,0,2026-05-09,60
C0090,1,1,0,2026-04-18,60
C0091,0,0,0,2026-04-16,60
C0092,1,0,1,2026-05-11,30
C0093,1,1,0,2026-05-15,30
C0094,0,0,0,2026-05-16,60
C0095,1,0,1,2026-05-15,45
C0096,0,0,0,2026-04-24,30
C0097,0,0,0,2026-04-23,45
C0098,0,0,0,2026-05-05,45
C0099,0,0,0,2026-05-13,30
C0100,0,0,0,2026-05-06,45
C0101,0,0,0,2026-05-02,45
C0102,0,0,0,2026-04-24,60
C0103,0,0,0,2026-04-24,60
C0104,0,0,0,2026-05-11,45
C0105,0,0,0,2026-05-02,30
C0106,0,0,0,2026-05-13,30
C0107,0,0,0,2026-05-15,30
C0108,0,0,1,2026-05-13,45
C0109,0,0,0,2026-04-17,45
C0110,1,0,0,2026-04-19,45
C0111,0,0,0,2026-05-17,60
C0112,0,0,0,2026-04-21,45
C0113,1,0,1,2026-04-17,60
C0114,0,0,0,2026-04-21,60
C0115,0,0,0,2026-04-17,30
C0116,0,0,0,2026-04-28,45
C0117,0,0,0,2026-04-18,45
C0118,0,0,0,2026-05-01,30
C0119,0,0,0,2026-04-27,45
C0120,0,0,0,2026-04-30,30
